Product_ID,Category,Material,Season,Price,Discount_Percentage,Customer_Rating,Stock_Level,Units_Sold,Return_Rate,Customer_Age,Region,Size,Production_Cost,Revenue
P10043,Hoodie,Denim,Summer,1498.97,12.6,3.6,183,109,10.82,46,North,L,396.47,142800.88
P10044,Trousers,Cotton,Spring,2153.72,45.8,3.2,249,135,18.45,50,South,L,365.69,157587.69
P10045,Trousers,Wool,Summer,2919.24,42.6,4.3,495,125,4.6,53,Central,XL,722.4,209455.47
P10046,Hoodie,Cotton,Spring,636.77,29.0,2.8,415,128,3.38,34,Central,M,785.8,57869.66
P10047,Sweater,,Autumn,1364.84,26.0,2.6,113,117,5.58,27,Central,L,1253.46,118167.85
P10048,Jacket,Cotton,Spring,72.94,46.5,4.4,298,125,2.13,18,West,S,879.69,4877.86
P10049,Jacket,Linen,Spring,1615.59,46.6,4.2,253,91,7.08,34,West,L,823.16,78507.98
P10050,Sweater,Linen,Winter,1719.24,48.5,3.7,297,116,6.38,59,East,L,675.06,102707.4
P10051,Jacket,Linen,Autumn,1476.5,6.3,3.7,376,122,8.91,45,South,L,906.29,168784.62
P10052,Jeans,Wool,Autumn,1107.28,8.0,3.7,282,112,9.8,55,Central,S,681.23,114094.13
P10053,Trousers,Cotton,Autumn,270.29,33.8,3.6,129,127,3.75,53,South,S,395.14,22724.36
P10054,Sweater,Cotton,Summer,1724.12,27.1,,347,121,12.77,44,East,L,1071.15,152082.9
P10055,Trousers,Wool,Winter,2373.26,0.9,3.7,449,110,5.25,54,East,S,601.49,258709.07
P10056,Hoodie,,Autumn,1145.39,3.1,3.8,268,132,3.32,42,Central,M,622.59,146504.54
P10057,T-Shirt,Polyester,Summer,1764.04,44.4,4.2,79,105,14.47,51,South,L,323.95,102984.66
P10058,Jeans,Cotton,Summer,559.11,43.4,4.3,442,119,1.43,20,East,S,864.52,37658.29
P10059,Dress,Polyester,Summer,1774.33,17.9,3.4,192,114,8.0,46,North,S,1263.11,166066.64
P10060,Jeans,Rayon,Winter,1263.97,44.6,3.5,470,116,3.74,52,West,S,237.33,81227.77
P10061,Sweater,Rayon,Summer,1042.55,29.7,3.4,256,130,17.77,58,South,M,267.95,95278.64
P10062,Dress,Wool,Winter,1043.78,40.3,3.8,127,131,16.66,27,Central,S,871.45,81630.9
P10063,T-Shirt,Rayon,Spring,1263.83,21.4,3.6,40,104,2.15,55,East,XL,829.83,103310.52
P10064,Sweater,Rayon,Summer,1729.46,5.7,4.7,474,129,11.46,55,,XL,607.94,210383.62
P10065,Shirt,Denim,Autumn,,21.7,4.2,158,108,6.61,18,East,M,584.13,60268.76
P10066,Trousers,Denim,Summer,1261.73,22.9,4.7,25,113,4.66,18,West,M,837.57,109925.7
P10067,T-Shirt,Denim,Spring,1475.12,27.5,4.3,282,143,6.92,49,South,S,180.44,152933.07
P10068,Trousers,Rayon,Spring,840.58,5.3,4.9,361,126,16.5,39,East,M,358.46,100299.69
P10069,Jacket,Wool,Summer,2578.0,49.6,4.1,394,129,2.1,36,West,S,447.2,167611.25
P10070,Shirt,Linen,Spring,987.9,12.2,,377,110,13.32,52,North,S,632.84,95411.38
P10071,Shirt,Linen,Winter,1098.34,9.9,2.9,111,119,18.35,23,South,S,640.92,117762.92
P10072,T-Shirt,Polyester,Winter,913.02,26.3,2.6,81,129,9.51,51,Central,XL,-29.87,86803.55
P10073,Shirt,Linen,Summer,2579.09,26.9,3.9,202,131,18.13,32,South,XL,359.92,246976.24
P10074,Dress,Linen,Winter,1831.74,22.0,5.0,331,125,18.23,59,East,L,922.9,178594.65
P10075,Shirt,Denim,Winter,938.04,38.6,3.5,120,107,12.58,20,Central,M,902.24,61627.35
P10076,Trousers,Denim,Autumn,2163.74,25.8,3.0,302,125,9.66,54,South,XL,1009.46,200686.88
P10077,Trousers,Rayon,Summer,1620.42,30.5,3.8,417,113,15.02,39,Central,M,907.16,127259.68
P10078,Sweater,Polyester,Spring,1654.35,36.2,4.1,356,110,18.41,46,South,S,718.46,116102.28
P10079,Trousers,Cotton,Summer,1293.31,1.3,3.3,349,117,13.92,31,North,M,457.93,149350.15
P10080,Sweater,Polyester,Winter,1050.35,28.5,4.3,376,113,4.98,47,North,S,454.06,84863.03
P10081,tshirt,Polyester,Autumn,1702.66,44.2,4.9,327,113,16.58,32,North,M,495.39,107359.52
P10082,Dress,Wool,Summer,1172.95,0.9,4.7,286,107,19.08,46,South,XL,996.91,124376.1
P10083,Hoodie,Rayon,Summer,2590.05,20.3,3.2,115,121,8.8,31,Central,M,908.55,249776.65
P10084,Sweater,Wool,Winter,738.43,46.3,3.3,46,118,14.25,20,North,S,460.22,46791.36
P10085,Jeans,Polyester,Winter,2421.69,17.7,3.4,300,125,10.85,39,West,XL,863.57,249131.36
P10086,Jacket,Polyester,Summer,1433.21,22.9,3.5,431,116,3.13,50,West,S,938.24,128180.57
P10087,T-Shirt,Polyester,Winter,1679.45,49.1,2.8,190,109,7.65,40,North,S,903.7,93177.57
P10088,Trousers,Linen,Winter,1999.89,10.0,,152,115,4.11,24,North,XL,1018.44,206988.62
P10089,Shirt,Wool,Winter,1121.85,3.3,3.4,123,118,13.8,37,East,M,765.02,128009.82
P10090,Hoodie,Polyester,Winter,2018.55,43.0,4.7,247,142,12.06,24,West,L,670.9,163381.44
P10091,Trousers,Denim,Winter,-124.53,43.4,4.8,435,124,1.64,34,West,L,772.07,-8740.01
P10092,T shirt,Rayon,Autumn,1068.01,23.6,2.6,103,106,2.17,49,North,M,1054.56,86491.72
P10093,Jacket,Rayon,Winter,945.56,25.7,5.0,269,123,5.96,32,East,M,977.62,86413.78
P10094,Jacket,Denim,Spring,747.9,41.8,4.3,116,132,15.15,30,Central,XL,778.35,57456.67
P10095,Jacket,Rayon,Summer,1371.03,36.9,3.8,253,111,3.41,20,East,S,1094.36,96028.31
P10096,Shirt,Linen,Autumn,1731.45,13.3,3.5,432,122,4.89,42,East,XL,1307.17,183142.39
P10097,Trousers,Linen,Autumn,1921.6,0.8,,344,123,18.24,49,West,XL,1517.74,234465.95
P10098,Jacket,Cotton,Winter,1644.53,24.0,3.3,32,124,11.38,33,North,S,1513.53,154980.51
P10099,Dress,Cotton,Summer,1100.58,42.9,4.1,370,123,12.8,18,North,S,1714.55,77297.04
P10100,Sweater,Cotton,Spring,1721.41,44.8,2.7,280,120,9.66,20,North,M,1154.74,114026.2
P10101,Shirt,Rayon,Winter,1574.57,47.8,4.1,483,118,6.7,37,East,S,-51.65,96987.21
P10102,Shirt,Linen,Summer,2061.63,44.0,3.2,149,108,5.73,45,East,S,813.65,124687.38
P10103,Trousers,Linen,Winter,1966.16,29.0,2.5,475,126,12.2,39,South,M,309.66,175892.67
P10104,Shirt,Linen,Winter,1518.29,22.2,3.9,463,99,9.95,53,Central,XL,1252.89,116941.73
P10105,Shirt,Denim,Winter,,38.7,3.9,393,125,8.66,58,South,L,656.14,73686.43
P10106,Jacket,Linen,Winter,1108.23,37.0,3.6,91,123,14.19,18,Central,S,884.16,85876.74
P10107,Trousers,Denim,Winter,1170.13,26.9,2.7,386,110,8.68,31,South,XL,706.24,94090.15
P10108,Jacket,Cotton,Winter,1310.84,4.4,4.7,447,119,1.7,32,South,XL,1289.53,149126.4
P10109,Sweater,Cotton,Winter,1660.83,46.3,4.0,353,122,16.95,49,South,L,394.4,108807.62
P10110,Hoodie,Rayon,Spring,1929.1,22.8,2.8,431,114,7.05,35,South,S,962.06,169776.23
P10111,Sweater,Cotton,Autumn,1469.33,18.2,3.8,165,124,18.98,55,East,XL,437.15,149037.08
P10112,Hoodie,Rayon,Spring,1509.67,31.5,3.7,344,122,17.71,39,Central,XL,109.13,126163.12
P10113,Jacket,Polyester,Winter,1585.98,33.7,2.7,28,129,5.44,33,South,S,806.27,135644.11
P10114,Sweater,Polyester,Winter,1190.46,10.5,4.0,78,124,19.34,28,South,S,382.71,132117.25
P10115,Trousers,Wool,Spring,944.76,41.8,4.5,457,126,17.22,24,North,XL,301.48,69281.14
P10116,T-Shirt,Rayon,Spring,446.74,14.5,4.4,141,116,19.72,26,East,M,279.04,44307.67
P10117,Jacket,Wool,Autumn,1082.91,9.3,3.0,265,133,13.88,18,West,M,633.27,130632.52
P10118,Hoodie,Wool,Spring,1783.89,20.3,4.7,218,117,18.68,59,North,XL,1029.96,166345.96
P10119,Dress,Polyester,Autumn,1078.25,36.5,3.4,19,111,14.11,25,,S,311.59,76000.45
P10120,Hoodie,Rayon,Winter,1357.32,48.3,4.9,149,140,17.25,28,South,S,1074.42,98242.82
P10121,Dress,Polyester,Summer,1779.86,40.5,2.7,462,120,12.6,22,Central,M,588.58,127082.0
P10122,Shirt,Wool,Summer,1812.41,47.0,3.7,144,122,18.65,46,West,M,430.7,117190.43
P10123,Sweater,Rayon,Summer,852.28,7.0,4.0,264,112,10.84,23,West,L,1114.23,88773.48
P10124,Dress,Wool,Summer,2098.24,3.6,3.1,309,126,14.99,29,West,M,1039.21,254860.62
P10125,Hoodie,Linen,Winter,2176.41,27.9,4.4,416,121,18.42,56,Central,S,994.01,189872.18
P10126,Shirt,Rayon,Summer,822.09,14.5,4.1,267,125,9.03,24,North,M,819.51,87860.87
P10127,T-Shirt,Rayon,Spring,1005.7,41.4,2.5,103,121,1.5,29,East,XL,428.26,71310.16
P10128,Trousers,Wool,Spring,2214.65,33.6,4.0,381,131,3.15,50,Central,L,1122.62,192639.12
P10129,Trousers,Linen,Summer,1411.89,48.5,3.7,250,108,19.47,36,North,L,758.63,78529.32
P10130,Trousers,Denim,Spring,168.13,12.7,3.0,246,148,17.59,53,South,S,790.6,21723.07
P10131,Dress,Polyester,Autumn,660.19,24.3,,174,121,10.18,36,North,XL,867.85,60471.42
P10132,T-Shirt,Wool,Winter,1350.38,25.1,4.7,334,119,19.26,38,West,M,1047.38,120360.72
P10133,Dress,Rayon,Summer,802.17,12.0,3.2,157,119,4.53,36,North,L,261.58,84003.24
P10134,Sweater,Polyester,Summer,1251.95,29.5,3.9,227,103,3.11,26,North,L,737.29,90910.35
P10135,Dress,Polyester,Winter,1519.44,22.2,3.3,437,134,12.43,39,,XL,613.85,158404.66
P10136,T-Shirt,Polyester,Spring,2377.35,22.3,4.4,117,126,8.26,36,South,L,1195.24,232747.32
P10137,T-Shirt,Denim,Winter,1325.73,18.1,4.8,240,136,7.46,54,North,XL,1270.41,147665.11
P10138,Sweater,Cotton,Winter,2143.53,0.8,3.4,79,131,14.95,28,Central,S,837.89,278556.01
P10139,T-Shirt,Wool,Spring,2357.26,26.1,4.5,230,118,3.85,42,South,L,355.99,205557.79
P10140,Hoodie,Cotton,Winter,2360.59,16.8,3.7,83,116,15.79,52,West,M,572.84,227825.26
P10141,T-Shirt,Cotton,Spring,1670.85,0.1,3.5,188,125,7.83,22,Central,XL,-7.74,208647.39
P10142,Trousers,Cotton,Spring,322.03,15.4,4.8,89,130,19.75,48,North,S,1054.66,35416.86
P10143,Hoodie,Polyester,Winter,1776.49,13.9,3.8,363,127,16.37,31,West,M,578.6,194253.85
P10144,Hoodie,Linen,Autumn,2129.04,19.7,3.7,168,142,13.28,30,West,XL,1113.44,242765.92
P10145,Sweater,Polyester,Spring,1451.36,6.6,4.2,365,130,5.36,51,Central,M,582.1,176224.13
P10146,Jeans,Polyester,Winter,2546.75,25.4,3.2,178,102,19.17,51,North,L,690.78,193787.3
P10147,Jeans,Rayon,Spring,2015.9,34.6,3.3,323,138,1.63,35,West,S,636.76,181939.01
P10148,T-Shirt,Rayon,Autumn,1840.96,31.5,4.8,398,114,5.24,23,South,XL,271.13,143760.57
P10149,Hoodie,Cotton,Autumn,2151.83,40.2,4.2,170,116,1.7,59,South,XL,261.55,149268.14
P10150,Jeans,Polyester,Summer,1700.02,22.6,4.6,436,110,19.36,38,Central,S,1342.26,144739.7
P10151,Jeans,Cotton,Spring,4.31,26.0,3.2,412,108,17.56,57,South,M,521.84,344.46
P10152,T-Shirt,Rayon,Spring,1200.52,40.5,3.9,41,121,19.09,22,East,S,974.37,86431.44
P10153,Jeans,Linen,Winter,2218.3,21.4,4.9,130,132,14.59,19,North,S,1539.43,230153.06
P10154,Dress,Wool,Spring,1015.45,35.1,3.3,224,107,1.52,23,West,S,625.67,70515.89
P10155,Shirt,Cotton,Summer,1365.92,21.7,2.9,12,98,18.7,25,West,S,888.18,104812.51
P10156,Sweater,Linen,Autumn,873.1,20.9,3.8,394,120,9.0,19,Central,L,836.67,82874.65
P10157,Shirt,Wool,Autumn,2570.35,38.0,3.5,237,137,8.0,40,Central,XL,850.25,218325.53
P10158,T-Shirt,Denim,Summer,2508.9,8.7,2.9,434,114,6.4,37,West,M,896.74,261131.33
P10159,Trousers,Cotton,Spring,969.68,16.9,4.7,485,114,6.45,21,South,M,390.06,91861.67
P10160,Sweater,Cotton,Spring,1588.38,11.2,5.0,57,118,16.21,32,Central,S,316.2,166436.81
P10161,T-Shirt,Denim,Summer,1091.7,18.0,3.9,176,136,5.87,47,East,S,739.68,121746.38
P10162,Hoodie,Denim,Winter,1868.97,11.5,4.4,398,102,5.22,37,Central,M,1170.03,168711.92
P10163,Trousers,Cotton,Autumn,1805.81,29.0,4.6,342,111,14.26,41,South,M,1025.91,142315.89
P10164,Shirt,Denim,Summer,1987.02,39.9,4.3,20,127,6.46,26,North,L,325.21,151663.28
P10165,T-Shirt,Polyester,Summer,1699.15,39.3,2.6,247,126,1.25,38,East,S,922.62,129954.39
P10166,Hoodie,Wool,Spring,3261.24,18.2,2.9,287,124,18.7,55,Central,M,825.76,330794.1
P10167,Sweater,Wool,Autumn,883.25,49.4,2.7,250,113,6.96,58,North,XL,791.48,50502.47
P10168,Sweater,Wool,Spring,473.64,29.7,2.5,480,116,15.52,30,North,L,786.69,38624.39
P10169,Jacket,Polyester,Summer,1264.15,20.0,3.3,201,113,9.91,22,West,L,842.42,114279.16
P10170,Hoodie,Denim,Winter,559.21,41.8,3.5,21,130,3.55,31,South,S,740.97,42309.83
P10171,Dress,Linen,Autumn,604.52,36.5,3.1,62,126,13.58,24,West,L,570.74,48367.65
P10172,Jeans,Denim,Summer,899.21,37.5,2.7,64,115,5.4,23,South,L,682.96,64630.72
P10173,Trousers,Cotton,Summer,946.69,9.8,3.8,318,104,6.47,29,North,XL,195.37,88807.1
P10174,Hoodie,Rayon,Winter,927.23,23.4,3.2,30,113,1.62,33,Central,L,906.78,80259.17
P10175,Jacket,Wool,Summer,1810.93,43.1,4.5,28,93,1.31,49,South,XL,899.48,95828.98
P10176,Jeans,Denim,Summer,1196.29,25.2,2.5,462,111,10.76,59,South,L,1247.24,99325.57
P10177,Jeans,Linen,Autumn,1392.29,34.2,4.6,353,109,2.1,28,North,L,933.68,99857.82
P10178,T-Shirt,Cotton,Autumn,2036.54,29.4,4.9,359,125,4.98,21,East,S,692.6,179724.66
P10179,Jeans,Polyester,Autumn,1040.21,42.1,4.3,465,128,18.55,46,North,S,896.01,77092.04
P10180,Dress,Polyester,Spring,,14.2,4.3,331,113,2.57,51,North,S,654.46,130041.49
P10181,Sweater,,Winter,1719.46,28.8,4.8,324,137,6.53,26,South,S,548.66,167723.01
P10182,Jacket,Cotton,Autumn,335.06,6.2,3.0,442,126,14.8,27,North,M,32.87,39600.07
P10183,Jeans,Wool,Spring,69.06,34.5,5.0,491,126,17.8,25,West,S,866.44,5699.52
P10184,T-Shirt,Denim,Spring,1707.67,36.6,4.4,68,116,1.88,53,North,S,899.62,125588.88
P10185,Dress,Cotton,Winter,1795.21,2.1,4.3,160,123,4.52,49,Central,S,1138.5,216173.8
P10186,Shirt,Polyester,Winter,2738.53,33.8,3.4,268,117,8.37,23,North,L,1183.46,212110.1
P10187,Sweater,Linen,Summer,1594.86,20.7,,449,116,7.86,23,North,L,854.14,146707.98
P10188,Sweater,Linen,Spring,1991.84,6.2,4.1,381,130,6.48,44,Central,L,376.23,242884.97
P10189,Jacket,Denim,Autumn,1382.72,21.0,4.1,67,115,5.6,19,East,S,389.49,125620.11
P10190,Sweater,Linen,Winter,,9.7,4.3,225,115,6.1,26,East,XL,816.49,174287.22
P10191,Jeans,Linen,Spring,2500.35,20.8,2.7,71,113,3.54,55,East,M,1019.21,223771.32
P10192,T-Shirt,Cotton,Autumn,225.6,19.2,3.4,155,127,4.1,22,West,XL,1037.56,23150.17
P10193,Sweater,Wool,Spring,1748.17,36.9,3.6,454,130,12.53,51,Central,XL,619.75,143402.39
P10194,Sweater,Denim,Winter,2781.35,38.7,3.2,391,129,6.55,31,West,XL,119.89,219940.81
P10195,tshirt,Cotton,Summer,,30.4,2.9,248,118,8.59,27,West,XL,388.11,137089.7
P10196,Shirt,Wool,Spring,2490.34,1.1,2.8,302,128,8.83,24,West,M,170.04,315257.12
P10197,Trousers,Cotton,Autumn,1122.47,46.6,3.4,191,127,3.09,37,Central,XL,850.61,76123.67
P10198,Dress,Rayon,Winter,1480.77,34.3,3.7,378,109,16.57,28,South,S,671.1,106042.38
P10199,Jeans,Cotton,Summer,1520.11,1.7,2.7,104,110,19.17,30,South,XL,660.39,164369.49
P10200,Sweater,Linen,Autumn,169.45,40.9,4.9,87,111,6.01,34,East,M,893.27,11116.09
P10201,Hoodie,Wool,Autumn,,10.0,4.4,458,101,6.59,54,West,M,642.06,72637.28
P10202,Sweater,Denim,Autumn,841.87,29.0,4.3,151,117,14.17,53,East,XL,1327.09,69934.14
P10203,T-Shirt,Denim,Spring,1993.24,23.3,2.9,114,131,2.53,50,West,S,692.84,200274.78
P10204,Trousers,Wool,Winter,2023.29,21.0,4.0,270,115,18.24,27,East,XL,231.1,183815.9
P10205,Dress,Linen,Autumn,1694.42,44.5,3.8,104,111,3.29,51,North,L,-14.07,104384.74
P10206,Hoodie,Polyester,Spring,1994.46,21.9,5.0,232,123,14.91,30,Central,M,910.15,191593.81
P10207,Trousers,Cotton,Winter,1401.51,3.8,4.4,487,136,6.54,42,West,XL,940.26,183362.36
P10208,Jacket,Linen,Winter,2221.16,47.3,3.9,493,126,7.14,50,West,L,934.64,147489.47
P10209,Dress,Rayon,Spring,1505.27,46.0,4.6,199,119,3.68,27,West,S,356.6,96728.65
P10210,Sweater,Wool,Spring,1534.72,34.2,2.9,138,109,13.28,41,Central,L,484.47,110073.19
P10211,Sweater,Cotton,Autumn,1340.64,23.4,2.5,328,129,16.1,22,North,M,1252.59,132474.0
P10212,Dress,Denim,Winter,1910.67,4.6,4.2,204,119,19.05,27,South,L,694.64,216910.72
P10213,Sweater,Polyester,Summer,1247.28,39.5,2.7,29,119,7.3,56,Central,L,564.17,89797.92
P10214,Jeans,Rayon,Spring,2085.86,3.8,2.8,308,124,12.8,44,North,L,1165.45,248818.07
P10215,Dress,Denim,Winter,820.71,3.4,4.4,249,130,8.88,53,East,S,441.19,103064.76
P10216,Trousers,Wool,Winter,840.65,26.9,3.2,244,140,11.6,50,West,S,625.27,86032.12
P10217,Dress,Cotton,Autumn,1912.46,8.0,4.1,94,106,4.1,45,West,S,1121.28,186503.1
P10218,Hoodie,,Summer,1446.87,0.4,4.8,103,120,12.05,57,South,S,1147.62,172929.9
P10219,Sweater,Cotton,Autumn,1227.67,21.2,3.3,51,121,17.13,20,East,XL,1155.65,117055.88
P10220,Jeans,Linen,Summer,2034.03,6.9,3.0,373,112,17.41,48,North,L,971.77,212092.38
P10221,Jeans,Polyester,Summer,1135.64,8.0,2.8,359,131,10.18,46,East,M,1354.99,136867.33
P10222,Jacket,Linen,Spring,1379.88,3.8,2.8,462,134,5.48,59,East,L,1032.55,177877.57
P10223,Trousers,Linen,Winter,2339.54,10.3,2.7,83,133,16.9,38,South,XL,849.3,279109.46
P10224,Shirt,Wool,Winter,2423.49,35.8,2.7,481,123,19.99,49,North,L,753.53,191373.31
P10225,Shirt,Polyester,Winter,2443.44,40.4,3.6,374,114,8.17,45,South,L,659.0,166017.09
P10226,Dress,Cotton,Summer,1330.72,22.6,3.3,124,107,18.56,38,,M,377.97,110207.57
P10227,Jacket,Cotton,Winter,2238.42,25.3,4.3,432,118,19.69,52,Central,M,85.74,197307.77
P10228,T-Shirt,Rayon,Spring,930.63,1.6,4.7,199,140,8.52,47,Central,M,1036.03,128203.59
P10229,Dress,Denim,Summer,955.86,3.5,4.5,441,137,14.61,34,West,L,719.97,126369.47
P10230,Jacket,Rayon,Summer,89.73,12.9,3.8,134,121,12.04,46,South,XL,492.81,9456.73
P10231,Trousers,Rayon,Summer,2503.72,27.2,2.8,15,124,14.72,19,Central,S,1359.42,226015.81
P10232,Trousers,Cotton,Summer,981.61,37.0,4.3,467,109,3.93,50,East,S,1108.9,67407.16
P10233,Trousers,Wool,Spring,1424.08,30.3,3.4,388,105,7.97,21,East,L,702.89,104221.29
P10234,Trousers,Linen,Winter,953.81,19.6,2.7,51,120,2.19,56,Central,S,920.82,92023.59
P10235,Trousers,Linen,Spring,1917.1,5.9,4.6,67,107,12.65,42,South,S,741.9,193027.05
P10236,Jacket,Linen,Winter,1274.62,39.0,3.3,436,113,18.61,22,West,L,640.79,87859.56
P10237,Jacket,Polyester,Spring,717.11,18.2,3.0,19,152,11.65,21,East,L,1124.77,89162.59
P10238,Jeans,Cotton,Autumn,1765.0,36.8,4.7,98,126,2.34,46,West,XL,830.9,140550.48
P10239,Hoodie,Wool,Autumn,639.76,25.6,4.8,343,138,18.68,54,East,S,375.24,65685.44
P10240,Shirt,Polyester,Autumn,997.56,36.9,3.3,120,125,3.53,25,North,L,858.92,78682.54
P10241,Sweater,Denim,Autumn,235.87,45.4,3.4,48,123,17.78,37,Central,S,940.34,15840.56
P10242,Trousers,Wool,Summer,645.63,46.1,3.9,406,118,14.57,58,South,M,1259.12,41063.36
P10243,T-Shirt,Rayon,Summer,1607.12,26.8,,468,120,13.09,23,East,M,837.14,141169.42
P10244,Sweater,Wool,Spring,321.28,25.6,2.7,176,132,12.15,53,Central,XL,767.49,31552.27
P10245,Jacket,Wool,Spring,611.31,13.3,4.0,20,122,3.49,49,West,L,904.23,64660.7
P10246,T-Shirt,Linen,Autumn,1498.58,46.8,4.9,119,135,10.52,22,South,S,434.15,107628.02
P10247,T-Shirt,Wool,Winter,1173.84,22.9,3.2,25,107,4.74,57,South,M,1567.02,96838.28
P10248,T-Shirt,Rayon,Autumn,2695.22,6.4,4.8,42,125,11.86,37,Central,L,1339.41,315340.74
P10249,Jeans,Rayon,Spring,2600.34,21.6,4.9,242,130,9.5,21,Central,M,1040.48,265026.65
P10250,Jacket,Cotton,Autumn,979.25,6.4,3.2,498,104,13.91,56,Central,M,845.06,95324.11
P10251,T-Shirt,Wool,Spring,1834.28,25.1,4.4,197,152,19.67,39,North,L,336.78,208829.11
P10252,Trousers,Linen,Autumn,1949.57,28.1,3.1,233,144,7.86,50,,M,758.55,201850.68
P10253,Dress,Wool,Winter,1141.51,16.9,4.3,68,117,12.72,48,South,L,899.63,110985.59
P10254,T-Shirt,Denim,Autumn,602.68,3.6,4.5,467,137,17.42,58,Central,XL,442.35,79594.74
